Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Hutchison, Randolph; Mocko, Gregory; ",Optimal Pacing of a Cyclist in a Time Trial Based on Individualized Models of Fatigue and Recovery,,,,,,
"Renu, Rahul Sharan; Mocko, Gregory; ",Computationally Assisted Retrieval and Reuse of 3D Solid Models and Assembly Work Instructions,International Design Engineering Technical Conferences and Computers and Information in Engineering Conference,85376,,V002T02A014,2021,American Society of Mechanical Engineers
"Conway, KM; Kulkarni, SS; Smith, BA; Pataky, GJ; Mocko, GM; Summers, JD; ",In-Plane Pure Shear Deformation of Cellular Materials with Novel Grip Design,2019 International Solid Freeform Fabrication Symposium,,,,2019,University of Texas at Austin
"Hussain, Mohammad; Masoudi, Nafiseh; Mocko, Gregory; Paredis, Chris; ",Approaches for simulation model reuse in systems design—A review,SAE International Journal of Advances and Current Practices in Mobility,4,2022-01-0355,1457-1471,2022,
"Louis, Edward; Colletti, Ryan; Hussain, Mohammad; Mocko, Gregory; Paredis, Chris; ",Developing Domain Ontologies and an Integration Ontology to Support Modeling and Simulation of Next-Generation Ground Vehicle Systems,,,,,2022,SAE Technical Paper
"Sreedhara, Vijay Sarthy M; Mocko, Gregory M; Hutchison, Randolph E; ",Repeatability and variability of the 3-Min all-out test at the subject level,Journal of Science in Sport and Exercise,5,1,77-86,2023,Springer Nature Singapore Singapore
"Ray, Steven R; PI, Russell S Peak; Mocko, Gregory M; Bajaj, Manas; Kim, Injoong; ",Capturing Design Process Information and Rationale to Support Knowledge-Based Design and Analysis Integration,,,,,2004,
"Ashtiani, Faraz; Sreedhara, Vijay Sarthy M; Vahidi, Ardalan; Hutchison, Randolph; Mocko, Gregory; ",Optimal Pacing of a Cyclist in a Time Trial Based on Individualized Models of Fatigue and Recovery,IEEE Transactions on Control Systems Technology,31,1,317-332,2022,IEEE
"Hutchison, Randolph E; Sreedhara, Vijay Sarthy M; Mocko, Gregory M; ",A survey of mathematical models of human performance using power and energy,,,,,2019,figshare Academic Research System
"Hawthorne, W; Sutton, M; Ransing, V; Mocko, G; Turner, C; Walton, J; ",The use of virtual reality to support engineering design reviews,Proceedings of the Ground Vehicle Systems Engineering and Technology Symposium,,,16-18,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
